สถานี,วันที่เต็ม,ปริมาณฝน,ความชื้นสัมพัทธ์,ความเร็วลม,ทิศทางลม,หมอก,อุณหภูมิ,PM10,PM2.5
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,31/12/2022,0,63,14,110,0,24.8,34,26
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,30/12/2022,0,65,7,110,0,25.3,37,27
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,29/12/2022,0,58,12,80,0,26.6,44,25
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,28/12/2022,0,57,10,40,0,25.8,53,35
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,27/12/2022,0,57,13,80,0,25.5,49,36
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,26/12/2022,0,57,10,100,0,25,43,32
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,25/12/2022,0,62,18,110,0,24.6,35,27
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,24/12/2022,0,61,15,80,0,25.4,45,24
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,23/12/2022,0,62,14,70,0,26.9,48,32
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,22/12/2022,0,65,11,110,0,26.5,56,34
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,21/12/2022,0,59,13,30,0,26.1,59,41
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,20/12/2022,0,55,14,330,0,24.2,55,41
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,19/12/2022,0,52,16,10,0,22.6,46,33
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,18/12/2022,0,55,15,30,0,23.5,37,24
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,17/12/2022,0,63,20,40,0,27.6,53,18
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,16/12/2022,0,63,13,330,0,26.1,63,36
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,15/12/2022,0,59,14,50,0,24.6,53,43
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,14/12/2022,0,59,16,20,0,24.6,48,36
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,13/12/2022,0,63,14,90,0,25.2,40,33
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,12/12/2022,0,64,15,90,0,27.5,34,24
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,11/12/2022,0,64,14,80,0,28.7,31,25
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,10/12/2022,0,68,12,350,0,29,36,22
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,9/12/2022,0,67,15,340,0,29,38,29
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,8/12/2022,0,68,15,330,0,28.6,38,25
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,7/12/2022,0,70,13,70,0,28.7,30,27
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,6/12/2022,0,73,17,90,0,27.8,20,20
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,5/12/2022,2.2,74,18,70,0,29.1,27,12
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,4/12/2022,2.8,72,23,10,0,28.4,26,19
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,3/12/2022,0,70,15,340,0,27.8,32,19
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,2/12/2022,0,79,15,90,0,29.5,31,20
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,1/12/2022,1,77,12,350,0,29,32,22
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,30/11/2022,0,82,26,50,0,30.2,39,17
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,29/11/2022,0,83,14,210,0,29.9,35,24
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,28/11/2022,0,82,12,200,0,29.3,29,22
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,27/11/2022,9.4,93,22,220,0,28.4,31,17
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,26/11/2022,0,89,15,240,0,27.8,22,17
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,25/11/2022,25.4,88,25,190,0,28.5,23,13
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,24/11/2022,1.4,94,13,10,0,28,29,11
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,23/11/2022,24.6,76,26,50,0,29.6,39,18
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,22/11/2022,0,70,16,20,0,29.8,43,26
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,21/11/2022,0,69,13,20,0,29.3,29,27
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,20/11/2022,0.2,75,16,20,0,28.5,29,16
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,19/11/2022,6.2,87,21,80,0,29.5,37,17
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,18/11/2022,14.4,87,26,110,0,29.1,30,22
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,17/11/2022,0.1,74,21,130,0,30.2,35,18
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,16/11/2022,0,75,15,20,0,29.8,31,22
455601-สนามบินดอนเมือง จ.กรุงเทพมหานคร,15/11/2022,0,81,15,100,0,28.9,26,17
